title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
The Right Side of History: How Reason and Moral Purpose Made the West Great,Ben Shapiro,Hardcover,$16.79,$27.99,978-0062857903,Broadside Books,"March 19, 2019",288,6 x 1 x 9 inches
The Case for Trump,Victor Davis Hanson,Hardcover,$17.99,$30.00,978-1541673540,Basic Books,"March 5, 2019",400,6.6 x 1.6 x 9.7 inches
Shortest Way Home: One Mayor's Challenge and a Model for America's Future,Pete Buttigieg,Hardcover,$16.77,$27.95,978-1631494369,Liveright; 1 edition,"February 12, 2019",352,6.4 x 1.3 x 9.6 inches
Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Jocko Willink and Leif Babin,Hardcover,$14.95,$27.99,978-1250183866,St. Martin's Press; 1 edition,"November 21, 2017",384,5.5 x 1.2 x 8.2 inches
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,$14.76,$22.99,978-0062316110,Harper Perennial; Reprint edition,"May 15, 2018",464,6 x 1.1 x 9 inches
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,Hardcover,$18.59,$28.95,978-0385521314,Doubleday; First Edition edition,"February 26, 2019",464,6.5 x 1.4 x 9.4 inches
The Matriarch: Barbara Bush and the Making of an American Dynasty,Susan Page,Hardcover,$19.50,$32.50,978-1538713648,Twelve,"April 2, 2019",432,6.4 x 1.5 x 9.2 inches
Inside the Empire: The True Power Behind the New York Yankees,Bob Klapisch and Paul Solotaroff,Hardcover,$16.80,$28.00,978-1328589354,Houghton Mifflin Harcourt,"March 26, 2019",256,9 x 6 x 9 inches
"Ladies Who Punch: The Explosive Inside Story of ""The View""",Ramin Setoodeh,Hardcover,$17.39,$28.99,978-1250112095,Thomas Dunne Books,"April 2, 2019",336,6.4 x 1.3 x 9.6 inches
The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,Hardcover,$14.75,$29.99,978-1250207579,St. Martin's Press; 2nd edition,"February 19, 2019",288,6.6 x 1.1 x 9.4 inches
DARK AGENDA: The War to Destroy Christian America,David Horowitz,Hardcover,$16.19,$26.99,978-1630061142,Humanix Books,"March 5, 2019",224,6.5 x 0.8 x 9.5 inches
