title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
The Right Side of History: How Reason and Moral Purpose Made the West Great,Ben Shapiro,Hardcover,$16.79,$27.99,9780062857903,Broadside Books,03/19/19,288,6(w) x 9(h) x 1(d)
The Case for Trump,Victor Davis Hanson,Hardcover,$17.99,$30.00,9781541673540,Basic Books,03/05/19,400,6.6(w) x 9.7(h) x 1.6(d)
Shortest Way Home: One Mayor's Challenge and a Model for America's Future,Pete Buttigieg,Hardcover,$16.77,$27.95,9781631494369,Liveright; 1 edition,02/12/19,352,6.4(w) x 9.6(h) x 1.3(d)
Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Jocko Willink and Leif Babin,Hardcover,$14.95,$27.99,9781250183866,St. Martin's Press; 1 edition,11/21/17,384,5.5(w) x 8.2(h) x 1.2(d)
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,$14.76,$22.99,9780062316110,Harper Perennial; Reprint edition,05/15/18,464,6(w) x 9(h) x 1.1(d)
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,Hardcover,$18.59,$28.95,9780385521314,Doubleday; First Edition edition,02/26/19,464,6.5(w) x 9.4(h) x 1.4(d)
The Matriarch: Barbara Bush and the Making of an American Dynasty,Susan Page,Hardcover,$19.50,$32.50,9781538713648,Twelve,04/02/19,432,6.4(w) x 9.2(h) x 1.5(d)
Inside the Empire: The True Power Behind the New York Yankees,Bob Klapisch and Paul Solotaroff,Hardcover,$16.80,$28.00,9781328589354,Houghton Mifflin Harcourt,03/26/19,256,9(w) x 9(h) x 6(d)
"Ladies Who Punch: The Explosive Inside Story of ""The View""",Ramin Setoodeh,Hardcover,$17.39,$28.99,9781250112095,Thomas Dunne Books,04/02/19,336,6.4(w) x 9.6(h) x 1.3(d)
The Threat: How the FBI Protects America in the Age of Terror and Trump,Andrew G. McCabe,Hardcover,$14.75,$29.99,9781250207579,St. Martin's Press; 2nd edition,02/19/19,288,6.6(w) x 9.4(h) x 1.1(d)
DARK AGENDA: The War to Destroy Christian America,David Horowitz,Hardcover,$16.19,$26.99,9781630061142,Humanix Books,03/05/19,224,6.5(w) x 9.5(h) x 0.8(d)
