title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
The Island of Sea Women (Signed Barnes & Noble Book Club Edition),Lisa See,Hardcover,$16.20,$27.00,9781982129675,Scribner,03/05/2019,384, 6.00(w) x 9.10(h) x 1.50(d)
The Immortalists,Chloe Benjamin,Paperback,$12.01,$16.00,9780735215092,Penguin Publishing Group,02/05/2019,368, 5.40(w) x 7.70(h) x 1.10(d)
Of Mice and Men,John Steinbeck,Paperback,$10.40,$12.00,9780140177398,Penguin Publishing Group,09/01/1993,112, 4.20(w) x 7.30(h) x 0.30(d)
Daisy Jones & The Six,Taylor Jenkins Reid,Hardcover,$17.33,$27.00,9781524798628,Random House Publishing Group,03/05/2019,368, 6.40(w) x 9.10(h) x 1.40(d)
The Things They Carried,Tim O'Brien,Paperback,$13.59,$15.99,9780618706419,Houghton Mifflin Harcourt,10/13/2009,256, 5.20(w) x 7.90(h) x 0.70(d)
The Great Gatsby,F. Scott Fitzgerald,Paperback,$10.51,$17.00,9780743273565,Scribner,09/30/2004,192, 5.20(w) x 7.90(h) x 0.50(d)
Where the Crawdads Sing,Delia Owens,Hardcover,$15.60,$26.00,9780735219090,Penguin Publishing Group,08/14/2018,384, 6.10(w) x 9.10(h) x 1.30(d)
The Kite Runner (10th Anniversary),Khaled Hosseini,Paperback,$13.60,$16.00,9781594631931,Penguin Publishing Group,03/05/2013,400, 5.10(w) x 7.90(h) x 1.10(d)
1984,George Orwell,Paperback,$7.96,$9.99,9780451524935,Penguin Publishing Group,07/01/1950,336, 4.30(w) x 7.60(h) x 1.00(d)
Animal Farm,George Orwell,Paperback,$8.55,$9.99,9780451526342,Penguin Publishing Group,04/06/2004,176, 4.40(w) x 7.50(h) x 0.60(d)
The Overstory: A Novel,Richard Powers,Paperback,$13.40,$18.95,9780393356687,"Norton, W. W. & Company, Inc.",04/02/2019,512, 5.50(w) x 8.20(h) x 1.20(d)
To Kill a Mockingbird,Harper Lee,Paperback,$6.36,$8.99,9780446310789,Grand Central Publishing,10/28/1988,384, 4.10(w) x 6.70(h) x 1.10(d)
Less,Andrew Sean Greer,Paperback,$13.59,$15.99,9780316316132,"Little, Brown and Company",05/22/2018,272, 5.50(w) x 8.37(h) x 0.75(d)
The Alchemist (25th Anniversary Edition),Paulo Coelho,Paperback,$10.99,$16.99,9780062315007,HarperCollins Publishers,04/15/2014,208, 5.31(w) x 8.00(h) x 0.52(d)
A Place for Us,Fatima Farheen Mirza,Paperback,$14.45,$17.00,9781524763565,Crown/Archetype,03/05/2019,400, 5.10(w) x 7.80(h) x 1.10(d)
A Man Called Ove,Fredrik Backman,Paperback,$13.60,$16.00,9781476738024,Washington Square Press,05/05/2015,368, 5.20(w) x 8.20(h) x 1.20(d)
The Road,Cormac McCarthy,Paperback,$14.83,$16.00,9780307387899,Knopf Doubleday Publishing Group,03/28/2007,304, 5.32(w) x 7.96(h) x 0.89(d)
Purple Hibiscus,Chimamanda Ngozi Adichie,Paperback,$13.56,$15.95,9781616202415,Algonquin Books of Chapel Hill,04/17/2012,336, 5.50(w) x 8.10(h) x 1.00(d)
Lost Roses (Signed B&N Exclusive Book),Martha Hall Kelly,Hardcover,$19.60,$28.00,9781984800879,Random House Publishing Group,04/09/2019,448, 6.40(w) x 9.40(h) x 1.80(d)
