title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
1984,George Orwell,Paperback,$7.96,$9.99,9780451524935,Penguin Publishing Group,07/01/1950,336,4.30(w) x 7.60(h) x 1.00(d)
2666,Roberto Bolaño,Paperback,$23.40,$26.00,9780312429218,Picador,09/01/2009,912,5.50(w) x 8.10(h) x 1.70(d)
....Or So They Say: History of idioms and superstitions,Ms Y Grantham,Paperback,$10.95,$10.95,9781517639228,CreateSpace Publishing,09/28/2015,178,6.00(w) x 9.00(h) x 0.38(d)
'Til Morning Light,Ann Moore,Paperback,$15.75,$16.99,9781504052818,Open Road Integrated Media LLC,08/21/2018,398,5.50(w) x 8.40(h) x 0.90(d)
"'Work Hard, Study...and Keep Out of Politics!': Adventures and Lessons from an Unexpected Public Life",James A. Baker III,Paperback,$21.95,$21.95,9780810124899,Northwestern University Press,06/28/2008,496,5.90(w) x 8.90(h) x 1.10(d)
"""A Rich Spot of Earth"": Thomas Jefferson's Revolutionary Garden at Monticello",Peter J. Hatch,Paperback,$27.50,$27.50,9780300208627,Yale University Press,09/30/2014,280,8.40(w) x 10.10(h) x 0.40(d)
11/22/63,Stephen King,Paperback,$17.80,$19.99,9781451627299,Gallery Books,07/24/2012,849,6.18(w) x 8.84(h) x 2.03(d)
1177 B.C.: The Year Civilization Collapsed,Eric H. Cline,Paperback,$14.41,$16.95,9780691168388,Princeton University Press,09/22/2015,264,5.40(w) x 8.40(h) x 0.90(d)
14 Minutes: A Running Legend's Life and Death and Life,Alberto Salazar,Paperback,$14.39,$15.99,9781609619985,Potter/Ten Speed/Harmony/Rodale,04/09/2013,280,5.70(w) x 8.30(h) x 0.76(d)
18 in America: A Young Golfer's Epic Journey to Find the Essence of the Game,Dylan Dethier,Paperback,$17.99,$17.99,9781451693645,Scribner,04/22/2014,272,5.50(w) x 8.37(h) x 0.70(d)
1916: A Novel of the Irish Rebellion,Morgan Llywelyn,Paperback,$15.29,$16.99,9780765386144,Tom Doherty Associates,03/01/2016,464,5.70(w) x 8.40(h) x 1.60(d)
"1917: Lenin, Wilson, and the Birth of the New World Disorder",Arthur Herman PhD,Paperback,$17.09,$18.99,9780062570895,HarperCollins Publishers,11/27/2018,496,5.20(w) x 7.90(h) x 1.20(d)
1984 (en español),George Orwell,Paperback,$10.00,$10.00,9788499890944,PRH Grupo Editorial,07/16/2013,352,7.30(w) x 4.90(h) x 0.60(d)
1Q84,Haruki Murakami,Paperback,$17.01,$18.00,9780307476463,Knopf Doubleday Publishing Group,01/22/2013,1184,5.44(w) x 7.76(h) x 2.09(d)
